Day,💪🏼Home workout,🦸🏽‍♂️,🎹prod,📖read
4th,No,Yes,No,No
5th,No,No,No,Yes
6th,No,No,No,Yes
7th,No,Yes,No,Yes
8th,No,Yes,No,Yes
9th,No,No,No,No
10th,No,Yes,No,No
11th,No,No,No,Yes
12th,No,Yes,No,Yes
13th,No,Yes,No,Yes
14th,No,No,No,No
15th,Yes,Yes,No,No
16th,No,Yes,No,Yes
17th,No,No,No,No
18th,No,Yes,No,No
19th,No,No,No,No
20th,No,Yes,No,No
21st,No,No,No,No
22nd,No,Yes,No,No
23rd,No,Yes,No,No
24th,No,No,No,No
25th,No,Yes,No,No
26th,No,Yes,No,No
27th,No,No,No,Yes
28th,No,Yes,No,No
29th,No,Yes,No,No
30th,No,Yes,No,No
31th,No,No,No,No