Day,💪🏽Workout,🇪🇸Duolingo,👨🏽‍💻Personal,🙈OGC,🍱Homemade lunch
,No,No,No,No,No
1st,No,No,No,Yes,No
2nd,Yes,No,No,No,Yes
3rd,Yes,No,Yes,No,Yes
4th,No,No,No,Yes,No
5th,Yes,No,Yes,Yes,Yes
6th,Yes,No,No,Yes,No
7th,Yes,No,Yes,No,No
8th,Yes,No,Yes,No,No
9th,Yes,No,Yes,Yes,Yes
10th,Yes,No,Yes,No,Yes
11th,No,No,Yes,Yes,Yes
12th,No,No,No,No,No
13th,No,No,No,No,No
14th,Yes,No,Yes,Yes,Yes
15th,No,No,Yes,No,Yes
16th,No,No,No,Yes,Yes
17th,Yes,No,No,No,Yes
18th,Yes,No,Yes,No,Yes
19th,No,No,No,Yes,Yes
20th,Yes,No,No,Yes,Yes
21st,Yes,Yes,Yes,Yes,Yes
22nd,No,No,No,Yes,Yes
23rd,No,Yes,Yes,No,Yes
24th,No,No,Yes,Yes,Yes
25th,Yes,Yes,No,No,Yes
26th,No,Yes,Yes,Yes,Yes
27th,No,Yes,Yes,Yes,Yes
28th,Yes,No,No,Yes,Yes
29th,No,No,No,No,Yes
30th,Yes,Yes,No,No,Yes