Day,💪🏽Workout,🇪🇸 duolinguo,📖 15min read,🎹 prod,🦸🏽‍♂️
1st,No,No,No,No,Yes
2nd,No,Yes,No,Yes,Yes
3rd,Yes,No,No,No,No
4th,Yes,No,No,No,Yes
5th,No,No,No,No,No
6th,No,Yes,No,Yes,Yes
7th,Yes,No,No,No,No
8th,No,No,Yes,Yes,No
9th,No,Yes,Yes,No,Yes
10th,Yes,No,No,Yes,No
11th,No,Yes,Yes,No,Yes
12th,Yes,Yes,Yes,No,No
13th,Yes,No,No,No,Yes
14th,Yes,No,No,No,No
15th,No,No,No,No,Yes
16th,No,No,No,No,Yes
17th,No,No,No,No,No
18th,Yes,No,No,No,No
19th,No,No,No,No,No
20th,Yes,No,No,Yes,Yes
21st,No,No,No,No,No
22nd,No,No,No,Yes,No
23rd,No,Yes,Yes,No,Yes
24th,No,Yes,No,Yes,Yes
25th,Yes,No,No,No,No
26th,No,Yes,Yes,No,Yes
27th,Yes,No,No,No,No
28th,No,No,No,Yes,No
29th,No,No,No,No,Yes
30th,Yes,Yes,No,No,Yes