Day,💪🏼Home workout,🦸🏽‍♂️,🎹prod,🌃night reading
4th,Yes,Yes,No,Yes
5th,Yes,Yes,No,No
6th,No,No,No,No
7th,Yes,Yes,No,No
8th,No,No,No,No
9th,No,Yes,No,No
10th,No,No,Yes,No
11th,No,Yes,No,No
12th,No,No,Yes,No
13th,No,No,No,No
14th,Yes,Yes,No,No
15th,No,No,No,No
16th,No,No,No,No
17th,No,Yes,No,No
18th,No,No,No,No
19th,No,No,No,No
20th,No,No,No,No
21st,No,No,No,No
22nd,No,Yes,No,No
23rd,No,Yes,No,No
24th,No,No,No,No
25th,No,Yes,No,No
26th,No,Yes,No,No
27th,No,No,No,No
28th,No,No,No,No
29th,No,No,No,No
30th,No,Yes,No,No